Gender,Age,Height(cm),Weight(kg),BMI,Running Time(min),Running Speed(km/h),Distance(km),Average Heart Rate,Calories Burned
Male,33,171,99,26.4,111,14.3,9.67,135,377
Female,43,178,77,28.2,118,12.8,12.08,123,627
Female,19,163,69,27.1,89,11.9,6.1,125,493
Male,18,177,77,18.9,72,14.6,5.32,177,350
Female,29,154,57,28.5,105,10.2,4.01,141,583
Male,22,196,90,22.6,97,14.6,6.92,145,837
Female,54,198,88,23.1,34,8.1,9.72,122,507
Male,49,179,50,19.7,66,10.9,4.39,160,535
Male,26,195,52,27.0,101,9.2,7.52,179,945
Female,58,154,62,20.6,60,11.3,3.11,161,574
Female,52,161,77,25.0,38,8.3,12.82,133,207
Male,36,165,98,28.2,80,13.7,4.54,130,540
Female,33,175,74,19.5,58,13.8,6.4,137,328
Female,20,175,82,24.7,107,14.6,3.22,173,975
Female,37,197,87,21.2,69,8.2,8.19,131,868
Male,41,170,55,22.4,70,12.0,13.08,142,551
Male,50,188,93,24.0,115,10.8,7.71,131,557
Male,41,185,94,22.6,40,9.8,5.15,132,716
Male,28,182,81,26.0,52,9.8,12.04,144,694
Male,25,179,94,24.0,30,10.3,12.47,164,285
Male,53,186,96,25.2,75,12.6,5.09,170,374
Male,55,172,70,27.0,50,11.8,12.25,177,392
Male,57,159,65,24.9,119,10.7,14.37,138,510
Male,37,154,70,25.2,65,7.6,5.0,174,318
Female,52,185,60,25.0,83,7.6,12.25,165,417
Male,42,183,86,22.9,116,7.0,11.5,155,626
Female,52,180,85,22.4,86,14.7,8.68,164,613
Female,42,159,84,28.8,30,7.0,3.7,127,313
Female,46,168,68,25.5,92,7.8,3.9,148,344
Male,35,181,69,21.3,83,9.5,13.23,174,737
Male,63,150,67,24.2,84,13.5,14.88,172,847
Male,35,154,96,22.3,69,14.7,11.11,174,502
Male,19,194,90,29.2,44,13.3,8.35,151,943
Female,52,153,98,18.6,50,12.5,10.77,170,787
Male,33,165,63,21.1,76,11.2,10.13,163,544
Male,58,173,64,22.7,102,7.7,7.6,137,200
Male,53,165,80,24.1,82,14.7,3.79,125,346
Male,50,151,50,28.3,38,13.1,12.86,137,486
Male,21,198,52,19.5,103,12.1,7.46,138,853
Female,50,177,65,27.8,81,13.1,12.83,141,252
Male,31,181,72,19.1,86,12.8,6.03,156,503
Female,38,176,60,28.2,55,12.1,3.01,151,268
Male,37,169,61,19.1,70,14.8,4.91,175,560
Female,25,173,59,18.7,64,14.2,8.62,160,801
Male,24,161,81,26.5,92,12.2,14.33,178,419
Male,20,199,65,30.0,54,12.5,4.23,122,903
Female,34,184,57,28.8,119,7.4,13.25,147,774
Female,50,182,87,25.1,104,12.4,9.32,129,784
Female,29,182,61,29.1,67,7.4,12.91,170,360
Male,39,192,73,18.6,31,11.7,6.58,154,880
Female,39,186,77,29.7,36,15.0,13.08,148,288
Male,63,161,57,24.1,111,11.4,12.27,173,887
Male,47,152,77,26.8,63,10.8,5.76,134,980
Female,55,150,85,27.9,46,9.5,4.58,152,784
Female,55,182,75,26.8,72,8.0,13.42,126,956
Male,62,189,57,24.7,88,12.8,14.56,131,788
Male,25,159,99,24.0,80,8.5,3.38,168,358
Female,44,192,77,28.1,83,7.9,11.78,149,688
Female,44,193,77,20.9,53,10.4,13.91,140,523
Female,51,178,86,29.6,54,13.4,13.29,150,809
Male,38,162,90,26.7,100,13.0,14.57,177,580
Male,47,161,85,20.8,81,7.4,12.12,143,301
Male,50,180,76,27.0,99,10.6,8.31,139,693
Male,45,195,66,24.6,117,11.2,6.74,156,843
Male,64,151,58,26.6,62,12.2,6.85,123,813
Male,50,199,82,27.3,78,12.2,11.69,147,218
Female,22,184,69,19.5,58,9.9,11.95,163,653
Male,36,172,62,24.3,92,11.5,5.4,139,681
Male,21,166,77,29.2,51,10.8,13.42,179,793
Male,52,175,97,22.2,55,14.1,11.58,143,596
Female,34,157,78,25.3,57,11.2,9.75,169,478
Male,61,178,62,22.7,114,10.5,8.66,168,564
Male,45,175,95,23.7,78,10.2,9.52,170,530
Female,47,159,84,24.8,100,11.6,4.91,151,840
Male,46,175,55,24.8,110,13.4,5.44,160,543
Male,63,183,67,20.8,113,11.3,4.09,155,654
Male,23,190,54,26.4,78,12.3,4.84,177,800
Male,52,156,96,19.5,49,12.9,8.44,172,924
Male,58,153,74,20.1,115,11.2,9.36,153,854
Female,54,199,51,18.5,92,10.4,3.21,155,264
Female,41,194,59,19.8,90,14.0,12.56,121,275
Female,46,160,79,23.9,78,10.3,6.53,134,910
Male,63,178,99,25.5,100,10.7,13.94,153,342
Male,48,185,94,27.6,30,14.9,14.61,155,804
